Meter ID         ,Date / Time           ,KW(ch: 1  set:1)    ,KVA(ch: 2  set:1)   ,PF(1(ch: 2  set:1)  
01E002992787     ,1/1/22 00:15          ,87.12         ,87.92         ,0.99          
01E002992787     ,1/1/22 00:30          ,63.91         ,58.08         ,1.1           
01E002992787     ,1/1/22 00:45          ,63.35         ,57.52         ,1.1           
01E002992787     ,1/1/22 01:00          ,69.19         ,64.16         ,1.08          
01E002992787     ,1/1/22 01:15          ,66.55         ,61.04         ,1.09          
01E002992787     ,1/1/22 01:30          ,64.39         ,58.32         ,1.1           
01E002992787     ,1/1/22 01:45          ,65.67         ,59.76         ,1.1           
01E002992787     ,1/1/22 02:00          ,90.39         ,84.56         ,1.07          
01E002992787     ,1/1/22 02:15          ,102.16        ,133.2         ,0.77          
01E002992787     ,1/1/22 02:30          ,102.16        ,139.28        ,0.73          
01E002992787     ,1/1/22 02:45          ,86.63         ,80.88         ,1.07          
01E002992787     ,1/1/22 03:00          ,63.99         ,58.08         ,1.1           
01E002992787     ,1/1/22 03:15          ,67.67         ,61.84         ,1.09          
01E002992787     ,1/1/22 03:30          ,69.19         ,63.44         ,1.09          
01E002992787     ,1/1/22 03:45          ,68.23         ,62.48         ,1.09          
01E002992787     ,1/1/22 04:00          ,65.35         ,59.76         ,1.09          
01E002992787     ,1/1/22 04:15          ,70.79         ,65.76         ,1.08          
01E002992787     ,1/1/22 04:30          ,68.71         ,63.2          ,1.09          
01E002992787     ,1/1/22 04:45          ,67.35         ,61.76         ,1.09          
01E002992787     ,1/1/22 05:00          ,95.99         ,90.08         ,1.07          
01E002992787     ,1/1/22 05:15          ,102.16        ,146.24        ,0.7           
01E002992787     ,1/1/22 05:30          ,102.16        ,140.56        ,0.73          
01E002992787     ,1/1/22 05:45          ,102.16        ,140.64        ,0.73          
01E002992787     ,1/1/22 06:00          ,102.16        ,141.04        ,0.72          
01E002992787     ,1/1/22 06:15          ,102.16        ,141.28        ,0.72          
01E002992787     ,1/1/22 06:30          ,102.16        ,102.56        ,1             
01E002992787     ,1/1/22 06:45          ,87.03         ,81.76         ,1.06          
01E002992787     ,1/1/22 07:00          ,87.75         ,82.16         ,1.07          
01E002992787     ,1/1/22 07:15          ,102.16        ,118.4         ,0.86          
01E002992787     ,1/1/22 07:30          ,102.16        ,156.08        ,0.65          
01E002992787     ,1/1/22 07:45          ,102.16        ,158.48        ,0.64          
01E002992787     ,1/1/22 08:00          ,102.16        ,149.68        ,0.68          
01E002992787     ,1/1/22 08:15          ,102.16        ,101.28        ,1.01          
01E002992787     ,1/1/22 08:30          ,78.95         ,73.36         ,1.08          
01E002992787     ,1/1/22 08:45          ,76.31         ,70.64         ,1.08          
01E002992787     ,1/1/22 09:00          ,75.91         ,70.32         ,1.08          
01E002992787     ,1/1/22 09:15          ,81.91         ,76.64         ,1.07          
01E002992787     ,1/1/22 09:30          ,79.67         ,74.32         ,1.07          
01E002992787     ,1/1/22 09:45          ,102.16        ,106.48        ,0.96          
01E002992787     ,1/1/22 10:00          ,102.16        ,148.8         ,0.69          
01E002992787     ,1/1/22 10:15          ,102.16        ,151.28        ,0.68          
01E002992787     ,1/1/22 10:30          ,80.79         ,74.88         ,1.08          
01E002992787     ,1/1/22 10:45          ,77.83         ,72            ,1.08          
01E002992787     ,1/1/22 11:00          ,76.15         ,70.48         ,1.08          
01E002992787     ,1/1/22 11:15          ,72.55         ,66.32         ,1.09          
01E002992787     ,1/1/22 11:30          ,72.31         ,66            ,1.1           
01E002992787     ,1/1/22 11:45          ,72.55         ,66.48         ,1.09          
01E002992787     ,1/1/22 12:00          ,75.91         ,70.08         ,1.08          
01E002992787     ,1/1/22 12:15          ,74.15         ,68.24         ,1.09          
01E002992787     ,1/1/22 12:30          ,75.75         ,70            ,1.08          
01E002992787     ,1/1/22 12:45          ,73.67         ,67.68         ,1.09          
01E002992787     ,1/1/22 13:00          ,68.23         ,61.84         ,1.1           
01E002992787     ,1/1/22 13:15          ,72.71         ,66.56         ,1.09          
01E002992787     ,1/1/22 13:30          ,73.59         ,67.68         ,1.09          
01E002992787     ,1/1/22 13:45          ,75.91         ,70.16         ,1.08          
01E002992787     ,1/1/22 14:00          ,76.15         ,70.48         ,1.08          
01E002992787     ,1/1/22 14:15          ,74.47         ,68.56         ,1.09          
01E002992787     ,1/1/22 14:30          ,73.03         ,66.88         ,1.09          
01E002992787     ,1/1/22 14:45          ,71.27         ,64.96         ,1.1           
01E002992787     ,1/1/22 15:00          ,73.03         ,67.04         ,1.09          
01E002992787     ,1/1/22 15:15          ,76.47         ,70.64         ,1.08          
01E002992787     ,1/1/22 15:30          ,71.51         ,65.44         ,1.09          
01E002992787     ,1/1/22 15:45          ,75.59         ,69.6          ,1.09          
01E002992787     ,1/1/22 16:00          ,78.71         ,73.12         ,1.08          
01E002992787     ,1/1/22 16:15          ,75.51         ,69.36         ,1.09          
01E002992787     ,1/1/22 16:30          ,75.11         ,69.04         ,1.09          
01E002992787     ,1/1/22 16:45          ,76.79         ,70.8          ,1.08          
01E002992787     ,1/1/22 17:00          ,76.47         ,70.48         ,1.08          
01E002992787     ,1/1/22 17:15          ,79.03         ,73.12         ,1.08          
01E002992787     ,1/1/22 17:30          ,78.55         ,72.64         ,1.08          
01E002992787     ,1/1/22 17:45          ,79.03         ,73.2          ,1.08          
01E002992787     ,1/1/22 18:00          ,79.51         ,73.36         ,1.08          
01E002992787     ,1/1/22 18:15          ,80.71         ,74.96         ,1.08          
01E002992787     ,1/1/22 18:30          ,80.87         ,75.04         ,1.08          
01E002992787     ,1/1/22 18:45          ,76.71         ,70.48         ,1.09          
01E002992787     ,1/1/22 19:00          ,76.87         ,70.56         ,1.09          
01E002992787     ,1/1/22 19:15          ,77.43         ,71.2          ,1.09          
01E002992787     ,1/1/22 19:30          ,77.83         ,71.6          ,1.09          
01E002992787     ,1/1/22 19:45          ,78.63         ,72.56         ,1.08          
01E002992787     ,1/1/22 20:00          ,78.23         ,72.24         ,1.08          
01E002992787     ,1/1/22 20:15          ,80.15         ,74.16         ,1.08          
01E002992787     ,1/1/22 20:30          ,79.51         ,73.44         ,1.08          
01E002992787     ,1/1/22 20:45          ,77.99         ,72            ,1.08          
01E002992787     ,1/1/22 21:00          ,80.55         ,74.64         ,1.08          
01E002992787     ,1/1/22 21:15          ,76.47         ,70.32         ,1.09          
01E002992787     ,1/1/22 21:30          ,76.23         ,70.08         ,1.09          
01E002992787     ,1/1/22 21:45          ,82.63         ,76.72         ,1.08          
01E002992787     ,1/1/22 22:00          ,77.91         ,72.08         ,1.08          
01E002992787     ,1/1/22 22:15          ,75.19         ,68.96         ,1.09          
01E002992787     ,1/1/22 22:30          ,75.35         ,69.6          ,1.08          
01E002992787     ,1/1/22 22:45          ,73.43         ,67.36         ,1.09          
01E002992787     ,1/1/22 23:00          ,72.79         ,66.72         ,1.09          
01E002992787     ,1/1/22 23:15          ,61.99         ,56.16         ,1.1           
01E002992787     ,1/1/22 23:30          ,60.63         ,54.56         ,1.11          
01E002992787     ,1/1/22 23:45          ,56.31         ,50            ,1.13          
01E002992787     ,1/2/22 00:00          ,58.31         ,52.08         ,1.12          
01E002992787     ,1/2/22 00:15          ,60.79         ,54.88         ,1.11          
01E002992787     ,1/2/22 00:30          ,88.56         ,89.12         ,0.99          
01E002992787     ,1/2/22 00:45          ,83.6          ,84.16         ,0.99          
01E002992787     ,1/2/22 01:00          ,84            ,84.48         ,0.99          
01E002992787     ,1/2/22 01:15          ,84.56         ,85.2          ,0.99          
01E002992787     ,1/2/22 01:30          ,87.52         ,88.48         ,0.99          
01E002992787     ,1/2/22 01:45          ,87.2          ,88.24         ,0.99          
01E002992787     ,1/2/22 02:00          ,84.56         ,85.2          ,0.99          
01E002992787     ,1/2/22 02:15          ,85.6          ,86.48         ,0.99          
01E002992787     ,1/2/22 02:30          ,85.68         ,86.32         ,0.99          
01E002992787     ,1/2/22 02:45          ,87.44         ,88.4          ,0.99          
01E002992787     ,1/2/22 03:00          ,84.48         ,84.88         ,1             
01E002992787     ,1/2/22 03:15          ,84.24         ,84.88         ,0.99          
01E002992787     ,1/2/22 03:30          ,89.84         ,90.88         ,0.99          
01E002992787     ,1/2/22 03:45          ,88.56         ,89.44         ,0.99          
01E002992787     ,1/2/22 04:00          ,88.24         ,89.28         ,0.99          
01E002992787     ,1/2/22 04:15          ,85.2          ,86            ,0.99          
01E002992787     ,1/2/22 04:30          ,88.48         ,89.44         ,0.99          
01E002992787     ,1/2/22 04:45          ,86.56         ,87.52         ,0.99          
01E002992787     ,1/2/22 05:00          ,88.72         ,89.76         ,0.99          
01E002992787     ,1/2/22 05:15          ,85.2          ,86.08         ,0.99          
01E002992787     ,1/2/22 05:30          ,88.96         ,89.84         ,0.99          
01E002992787     ,1/2/22 05:45          ,85.36         ,85.84         ,0.99          
01E002992787     ,1/2/22 06:00          ,83.92         ,84.64         ,0.99          
01E002992787     ,1/2/22 06:15          ,87.12         ,88            ,0.99          
01E002992787     ,1/2/22 06:30          ,96.64         ,97.12         ,1             
01E002992787     ,1/2/22 06:45          ,92.48         ,92.8          ,1             
01E002992787     ,1/2/22 07:00          ,92.16         ,92.32         ,1             
01E002992787     ,1/2/22 07:15          ,96.4          ,96.96         ,0.99          
01E002992787     ,1/2/22 07:30          ,100.32        ,101.04        ,0.99          
01E002992787     ,1/2/22 07:45          ,95.28         ,95.84         ,0.99          
01E002992787     ,1/2/22 08:00          ,94.72         ,95.2          ,0.99          
01E002992787     ,1/2/22 08:15          ,93.92         ,94.32         ,1             
01E002992787     ,1/2/22 08:30          ,100.16        ,100.88        ,0.99          
01E002992787     ,1/2/22 08:45          ,94.32         ,94.88         ,0.99          
01E002992787     ,1/2/22 09:00          ,95.36         ,96            ,0.99          
01E002992787     ,1/2/22 09:15          ,92.08         ,92.64         ,0.99          
01E002992787     ,1/2/22 09:30          ,96.08         ,96.64         ,0.99          
01E002992787     ,1/2/22 09:45          ,91.28         ,91.76         ,0.99          
01E002992787     ,1/2/22 10:00          ,93.6          ,94.16         ,0.99          
01E002992787     ,1/2/22 10:15          ,91.28         ,91.76         ,0.99          
01E002992787     ,1/2/22 10:30          ,93.36         ,93.84         ,0.99          
01E002992787     ,1/2/22 10:45          ,91.04         ,91.44         ,1             
01E002992787     ,1/2/22 11:00          ,88.8          ,89.12         ,1             
01E002992787     ,1/2/22 11:15          ,90.8          ,91.12         ,1             
01E002992787     ,1/2/22 11:30          ,94.4          ,95.04         ,0.99          
01E002992787     ,1/2/22 11:45          ,94.96         ,95.36         ,1             
01E002992787     ,1/2/22 12:00          ,95.76         ,96.24         ,1             
01E002992787     ,1/2/22 12:15          ,95.04         ,95.44         ,1             
01E002992787     ,1/2/22 12:30          ,93.76         ,94.16         ,1             
01E002992787     ,1/2/22 12:45          ,91.44         ,91.76         ,1             
01E002992787     ,1/2/22 13:00          ,95.2          ,95.36         ,1             
01E002992787     ,1/2/22 13:15          ,93.84         ,94.08         ,1             
01E002992787     ,1/2/22 13:30          ,95.44         ,95.76         ,1             
01E002992787     ,1/2/22 13:45          ,100.64        ,101.28        ,0.99          
01E002992787     ,1/2/22 14:00          ,94.24         ,94.8          ,0.99          
01E002992787     ,1/2/22 14:15          ,95.68         ,96.16         ,1             
01E002992787     ,1/2/22 14:30          ,96.08         ,96.48         ,1             
01E002992787     ,1/2/22 14:45          ,97.92         ,98.4          ,1             
01E002992787     ,1/2/22 15:00          ,95.36         ,95.6          ,1             
01E002992787     ,1/2/22 15:15          ,94.08         ,94.4          ,1             
01E002992787     ,1/2/22 15:30          ,92.8          ,93.12         ,1             
01E002992787     ,1/2/22 15:45          ,94            ,94.24         ,1             
01E002992787     ,1/2/22 16:00          ,93.04         ,93.36         ,1             
01E002992787     ,1/2/22 16:15          ,96.08         ,96.4          ,1             
01E002992787     ,1/2/22 16:30          ,97.76         ,98            ,1             
01E002992787     ,1/2/22 16:45          ,98            ,98.24         ,1             
01E002992787     ,1/2/22 17:00          ,97.84         ,98.08         ,1             
01E002992787     ,1/2/22 17:15          ,94.8          ,95.04         ,1             
01E002992787     ,1/2/22 17:30          ,95.52         ,95.84         ,1             
01E002992787     ,1/2/22 17:45          ,101.36        ,101.76        ,1             
01E002992787     ,1/2/22 18:00          ,99.12         ,99.6          ,1             
01E002992787     ,1/2/22 18:15          ,100.8         ,101.36        ,0.99          
01E002992787     ,1/2/22 18:30          ,98.8          ,99.12         ,1             
01E002992787     ,1/2/22 18:45          ,98.08         ,98.4          ,1             
01E002992787     ,1/2/22 19:00          ,98.16         ,98.48         ,1             
01E002992787     ,1/2/22 19:15          ,97.84         ,98.08         ,1             
01E002992787     ,1/2/22 19:30          ,97.44         ,97.76         ,1             
01E002992787     ,1/2/22 19:45          ,102.16        ,102.64        ,1             
01E002992787     ,1/2/22 20:00          ,97.28         ,97.52         ,1             
01E002992787     ,1/2/22 20:15          ,97.2          ,97.52         ,1             
01E002992787     ,1/2/22 20:30          ,98.72         ,99.12         ,1             
01E002992787     ,1/2/22 20:45          ,96.8          ,97.12         ,1             
01E002992787     ,1/2/22 21:00          ,94.72         ,95.2          ,0.99          
01E002992787     ,1/2/22 21:15          ,99.76         ,100.32        ,0.99          
01E002992787     ,1/2/22 21:30          ,97.44         ,97.92         ,1             
01E002992787     ,1/2/22 21:45          ,99.92         ,100.56        ,0.99          
01E002992787     ,1/2/22 22:00          ,95.92         ,96.32         ,1             
01E002992787     ,1/2/22 22:15          ,97.52         ,98.08         ,0.99          
01E002992787     ,1/2/22 22:30          ,98.96         ,99.6          ,0.99          
01E002992787     ,1/2/22 22:45          ,100.08        ,100.64        ,0.99          
01E002992787     ,1/2/22 23:00          ,95.76         ,96.24         ,1             
01E002992787     ,1/2/22 23:15          ,82.08         ,82.56         ,0.99          
01E002992787     ,1/2/22 23:30          ,88.72         ,89.68         ,0.99          
01E002992787     ,1/2/22 23:45          ,85.36         ,86.08         ,0.99          
01E002992787     ,1/3/22 00:00          ,84.16         ,84.72         ,0.99          
01E002992787     ,1/3/22 00:15          ,83.52         ,83.92         ,1             
01E002992787     ,1/3/22 00:30          ,83.52         ,84.08         ,0.99          
01E002992787     ,1/3/22 00:45          ,86.8          ,87.2          ,1             
01E002992787     ,1/3/22 01:00          ,86.08         ,86.64         ,0.99          
01E002992787     ,1/3/22 01:15          ,85.76         ,86.56         ,0.99          
01E002992787     ,1/3/22 01:30          ,85.6          ,86.32         ,0.99          
01E002992787     ,1/3/22 01:45          ,90            ,90.88         ,0.99          
01E002992787     ,1/3/22 02:00          ,87.6          ,88.32         ,0.99          
01E002992787     ,1/3/22 02:15          ,86.72         ,87.52         ,0.99          
01E002992787     ,1/3/22 02:30          ,86.24         ,87.04         ,0.99          
01E002992787     ,1/3/22 02:45          ,88.64         ,89.36         ,0.99          
01E002992787     ,1/3/22 03:00          ,83.6          ,84.24         ,0.99          
01E002992787     ,1/3/22 03:15          ,86.56         ,87.36         ,0.99          
01E002992787     ,1/3/22 03:30          ,89.52         ,90.4          ,0.99          
01E002992787     ,1/3/22 03:45          ,60.72         ,60.96         ,1             
01E002992787     ,1/3/22 04:00          ,71.84         ,72.64         ,0.99          
01E002992787     ,1/3/22 04:15          ,79.44         ,80.4          ,0.99          
01E002992787     ,1/3/22 04:30          ,86.64         ,87.84         ,0.99          
01E002992787     ,1/3/22 04:45          ,80.96         ,81.92         ,0.99          
01E002992787     ,1/3/22 05:00          ,80.4          ,81.36         ,0.99          
01E002992787     ,1/3/22 05:15          ,85.52         ,86.8          ,0.99          
01E002992787     ,1/3/22 05:30          ,84.88         ,86.24         ,0.98          
01E002992787     ,1/3/22 05:45          ,49.6          ,49.68         ,1             
01E002992787     ,1/3/22 06:00          ,46.32         ,46.56         ,0.99          
01E002992787     ,1/3/22 06:15          ,49.68         ,50.16         ,0.99          
01E002992787     ,1/3/22 06:30          ,58.16         ,58.32         ,1             
01E002992787     ,1/3/22 06:45          ,61.12         ,61.28         ,1             
01E002992787     ,1/3/22 07:00          ,63.12         ,63.44         ,0.99          
01E002992787     ,1/3/22 07:15          ,63.92         ,64.16         ,1             
01E002992787     ,1/3/22 07:30          ,63.92         ,64.24         ,1             
01E002992787     ,1/3/22 07:45          ,62.24         ,62.56         ,0.99          
01E002992787     ,1/3/22 08:00          ,63.52         ,63.92         ,0.99          
01E002992787     ,1/3/22 08:15          ,62.56         ,62.88         ,0.99          
01E002992787     ,1/3/22 08:30          ,58.72         ,58.96         ,1             
01E002992787     ,1/3/22 08:45          ,62.16         ,62.72         ,0.99          
01E002992787     ,1/3/22 09:00          ,59.36         ,59.6          ,1             
01E002992787     ,1/3/22 09:15          ,60.88         ,61.36         ,0.99          
01E002992787     ,1/3/22 09:30          ,49.84         ,49.92         ,1             
01E002992787     ,1/3/22 09:45          ,54.32         ,54.56         ,1             
01E002992787     ,1/3/22 10:00          ,57.76         ,58            ,1             
01E002992787     ,1/3/22 10:15          ,60.88         ,61.28         ,0.99          
01E002992787     ,1/3/22 10:30          ,61.6          ,62.08         ,0.99          
01E002992787     ,1/3/22 10:45          ,60.56         ,60.8          ,1             
01E002992787     ,1/3/22 11:00          ,62.4          ,62.96         ,0.99          
01E002992787     ,1/3/22 11:15          ,63.2          ,63.76         ,0.99          
01E002992787     ,1/3/22 11:30          ,50.16         ,50.32         ,1             
01E002992787     ,1/3/22 11:45          ,55.68         ,56            ,0.99          
01E002992787     ,1/3/22 12:00          ,58.16         ,58.56         ,0.99          
01E002992787     ,1/3/22 12:15          ,60.32         ,60.88         ,0.99          
01E002992787     ,1/3/22 12:30          ,61.36         ,62            ,0.99          
01E002992787     ,1/3/22 12:45          ,60.96         ,61.68         ,0.99          
01E002992787     ,1/3/22 13:00          ,60.8          ,61.12         ,0.99          
01E002992787     ,1/3/22 13:15          ,58.72         ,59.04         ,0.99          
01E002992787     ,1/3/22 13:30          ,63.04         ,63.6          ,0.99          
01E002992787     ,1/3/22 13:45          ,59.76         ,60.08         ,0.99          
01E002992787     ,1/3/22 14:00          ,61.68         ,62.08         ,0.99          
01E002992787     ,1/3/22 14:15          ,60            ,60.32         ,0.99          
01E002992787     ,1/3/22 14:30          ,64.88         ,65.44         ,0.99          
01E002992787     ,1/3/22 14:45          ,61.44         ,62            ,0.99          
01E002992787     ,1/3/22 15:00          ,79.2          ,79.6          ,0.99          
01E002992787     ,1/3/22 15:15          ,140.32        ,140.72        ,1             
01E002992787     ,1/3/22 15:30          ,136.96        ,137.12        ,1             
01E002992787     ,1/3/22 15:45          ,121.6         ,121.76        ,1             
01E002992787     ,1/3/22 16:00          ,64.4          ,64.96         ,0.99          
01E002992787     ,1/3/22 16:15          ,65.92         ,66.64         ,0.99          
01E002992787     ,1/3/22 16:30          ,65.04         ,65.76         ,0.99          
01E002992787     ,1/3/22 16:45          ,63.2          ,63.68         ,0.99          
01E002992787     ,1/3/22 17:00          ,66.24         ,66.96         ,0.99          
01E002992787     ,1/3/22 17:15          ,68.08         ,68.96         ,0.99          
01E002992787     ,1/3/22 17:30          ,59.6          ,59.76         ,1             
01E002992787     ,1/3/22 17:45          ,129.76        ,129.92        ,1             
01E002992787     ,1/3/22 18:00          ,141.28        ,141.6         ,1             
01E002992787     ,1/3/22 18:15          ,103.44        ,103.92        ,1             
01E002992787     ,1/3/22 18:30          ,69.36         ,69.92         ,0.99          
01E002992787     ,1/3/22 18:45          ,67.28         ,67.68         ,0.99          
01E002992787     ,1/3/22 19:00          ,62.88         ,62.96         ,1             
01E002992787     ,1/3/22 19:15          ,67.6          ,68            ,0.99          
01E002992787     ,1/3/22 19:30          ,66.96         ,67.44         ,0.99          
01E002992787     ,1/3/22 19:45          ,138.96        ,139.12        ,1             
01E002992787     ,1/3/22 20:00          ,140.32        ,140.56        ,1             
01E002992787     ,1/3/22 20:15          ,146.08        ,146.4         ,1             
01E002992787     ,1/3/22 20:30          ,127.12        ,127.52        ,1             
01E002992787     ,1/3/22 20:45          ,72.8          ,73.44         ,0.99          
01E002992787     ,1/3/22 21:00          ,72.96         ,73.76         ,0.99          
01E002992787     ,1/3/22 21:15          ,77.76         ,78.72         ,0.99          
01E002992787     ,1/3/22 21:30          ,137.28        ,137.84        ,1             
01E002992787     ,1/3/22 21:45          ,147.44        ,147.6         ,1             
01E002992787     ,1/3/22 22:00          ,149.76        ,150.16        ,1             
01E002992787     ,1/3/22 22:15          ,143.2         ,143.36        ,1             
01E002992787     ,1/3/22 22:30          ,143.84        ,144.16        ,1             
01E002992787     ,1/3/22 22:45          ,114.56        ,114.8         ,1             
01E002992787     ,1/3/22 23:00          ,62.48         ,62.64         ,1             
01E002992787     ,1/3/22 23:15          ,56.72         ,57.68         ,0.98          
01E002992787     ,1/3/22 23:30          ,56.96         ,57.6          ,0.99          
01E002992787     ,1/3/22 23:45          ,51.92         ,52.16         ,1             
01E002992787     ,1/4/22 00:00          ,53.2          ,53.44         ,1             
01E002992787     ,1/4/22 00:15          ,71.68         ,72.24         ,0.99          
01E002992787     ,1/4/22 00:30          ,128.72        ,128.96        ,1             
01E002992787     ,1/4/22 00:45          ,131.68        ,131.92        ,1             
01E002992787     ,1/4/22 01:00          ,131.44        ,131.76        ,1             
01E002992787     ,1/4/22 01:15          ,81.28         ,81.68         ,1             
01E002992787     ,1/4/22 01:30          ,56.56         ,57.2          ,0.99          
01E002992787     ,1/4/22 01:45          ,58.72         ,59.68         ,0.98          
01E002992787     ,1/4/22 02:00          ,71.04         ,72.88         ,0.97          
01E002992787     ,1/4/22 02:15          ,136.56        ,137.2         ,1             
01E002992787     ,1/4/22 02:30          ,136.48        ,137.04        ,1             
01E002992787     ,1/4/22 02:45          ,140.32        ,140.96        ,1             
01E002992787     ,1/4/22 03:00          ,132.64        ,133.04        ,1             
01E002992787     ,1/4/22 03:15          ,135.12        ,135.52        ,1             
01E002992787     ,1/4/22 03:30          ,140.88        ,141.28        ,1             
01E002992787     ,1/4/22 03:45          ,137.36        ,137.76        ,1             
01E002992787     ,1/4/22 04:00          ,136.88        ,137.12        ,1             
01E002992787     ,1/4/22 04:15          ,137.36        ,137.92        ,1             
01E002992787     ,1/4/22 04:30          ,140           ,140.56        ,1             
01E002992787     ,1/4/22 04:45          ,139.84        ,140.4         ,1             
01E002992787     ,1/4/22 05:00          ,139.28        ,140.16        ,0.99          
01E002992787     ,1/4/22 05:15          ,146.48        ,147.6         ,0.99          
01E002992787     ,1/4/22 05:30          ,150.56        ,151.92        ,0.99          
01E002992787     ,1/4/22 05:45          ,146.8         ,148.08        ,0.99          
01E002992787     ,1/4/22 06:00          ,151.76        ,153.28        ,0.99          
01E002992787     ,1/4/22 06:15          ,145.68        ,146.8         ,0.99          
01E002992787     ,1/4/22 06:30          ,165.84        ,167.12        ,0.99          
01E002992787     ,1/4/22 06:45          ,166.88        ,167.92        ,0.99          
01E002992787     ,1/4/22 07:00          ,166.32        ,167.28        ,0.99          
01E002992787     ,1/4/22 07:15          ,164.96        ,166.16        ,0.99          
01E002992787     ,1/4/22 07:30          ,157.68        ,158.56        ,0.99          
01E002992787     ,1/4/22 07:45          ,160.8         ,161.76        ,0.99          
01E002992787     ,1/4/22 08:00          ,156.08        ,156.96        ,0.99          
01E002992787     ,1/4/22 08:15          ,156.88        ,157.92        ,0.99          
01E002992787     ,1/4/22 08:30          ,152.56        ,153.52        ,0.99          
01E002992787     ,1/4/22 08:45          ,156.72        ,157.6         ,0.99          
01E002992787     ,1/4/22 09:00          ,160.96        ,161.92        ,0.99          
01E002992787     ,1/4/22 09:15          ,152.16        ,153.04        ,0.99          
01E002992787     ,1/4/22 09:30          ,153.2         ,154           ,0.99          
01E002992787     ,1/4/22 09:45          ,152           ,152.96        ,0.99          
01E002992787     ,1/4/22 10:00          ,149.68        ,150.56        ,0.99          
01E002992787     ,1/4/22 10:15          ,155.12        ,155.76        ,1             
01E002992787     ,1/4/22 10:30          ,158.08        ,159.28        ,0.99          
01E002992787     ,1/4/22 10:45          ,158.64        ,159.68        ,0.99          
01E002992787     ,1/4/22 11:00          ,152           ,152.72        ,1             
01E002992787     ,1/4/22 11:15          ,159.52        ,160.88        ,0.99          
01E002992787     ,1/4/22 11:30          ,153.52        ,154.16        ,1             
01E002992787     ,1/4/22 11:45          ,152.64        ,153.44        ,0.99          
01E002992787     ,1/4/22 12:00          ,150.64        ,151.44        ,0.99          
01E002992787     ,1/4/22 12:15          ,150.64        ,151.2         ,1             
01E002992787     ,1/4/22 12:30          ,149.28        ,149.76        ,1             
01E002992787     ,1/4/22 12:45          ,151.92        ,152.72        ,0.99          
01E002992787     ,1/4/22 13:00          ,156.56        ,157.36        ,0.99          
01E002992787     ,1/4/22 13:15          ,150.64        ,151.6         ,0.99          
01E002992787     ,1/4/22 13:30          ,73.04         ,74.08         ,0.99          
01E002992787     ,1/4/22 13:45          ,74.24         ,75.68         ,0.98          
01E002992787     ,1/4/22 14:00          ,71.2          ,72.8          ,0.98          
01E002992787     ,1/4/22 14:15          ,70.96         ,72.24         ,0.98          
01E002992787     ,1/4/22 14:30          ,70.56         ,71.92         ,0.98          
01E002992787     ,1/4/22 14:45          ,69.44         ,70.88         ,0.98          
01E002992787     ,1/4/22 15:00          ,77.76         ,79.04         ,0.98          
01E002992787     ,1/4/22 15:15          ,147.2         ,147.84        ,1             
01E002992787     ,1/4/22 15:30          ,141.52        ,141.84        ,1             
01E002992787     ,1/4/22 15:45          ,138.72        ,139.12        ,1             
01E002992787     ,1/4/22 16:00          ,83.04         ,83.68         ,0.99          
01E002992787     ,1/4/22 16:15          ,67.36         ,68.08         ,0.99          
01E002992787     ,1/4/22 16:30          ,68.56         ,69.12         ,0.99          
01E002992787     ,1/4/22 16:45          ,68.8          ,69.6          ,0.99          
01E002992787     ,1/4/22 17:00          ,124.48        ,124.88        ,1             
01E002992787     ,1/4/22 17:15          ,146.8         ,147.36        ,1             
01E002992787     ,1/4/22 17:30          ,144.16        ,144.4         ,1             
01E002992787     ,1/4/22 17:45          ,145.44        ,145.84        ,1             
01E002992787     ,1/4/22 18:00          ,88.48         ,89.2          ,0.99          
01E002992787     ,1/4/22 18:15          ,70.32         ,71.12         ,0.99          
01E002992787     ,1/4/22 18:30          ,68.96         ,69.68         ,0.99          
01E002992787     ,1/4/22 18:45          ,69.6          ,70.4          ,0.99          
01E002992787     ,1/4/22 19:00          ,129.12        ,129.76        ,1             
01E002992787     ,1/4/22 19:15          ,145.76        ,146.08        ,1             
01E002992787     ,1/4/22 19:30          ,148.8         ,149.36        ,1             
01E002992787     ,1/4/22 19:45          ,150.4         ,150.88        ,1             
01E002992787     ,1/4/22 20:00          ,147.68        ,148.08        ,1             
01E002992787     ,1/4/22 20:15          ,145.68        ,146.24        ,1             
01E002992787     ,1/4/22 20:30          ,76.8          ,77.68         ,0.99          
01E002992787     ,1/4/22 20:45          ,75.68         ,76.48         ,0.99          
01E002992787     ,1/4/22 21:00          ,83.04         ,83.92         ,0.99          
01E002992787     ,1/4/22 21:15          ,151.84        ,152.56        ,1             
01E002992787     ,1/4/22 21:30          ,151.92        ,152.4         ,1             
01E002992787     ,1/4/22 21:45          ,146.56        ,146.88        ,1             
01E002992787     ,1/4/22 22:00          ,151.36        ,151.84        ,1             
01E002992787     ,1/4/22 22:15          ,143.68        ,143.84        ,1             
01E002992787     ,1/4/22 22:30          ,89.36         ,89.68         ,1             
01E002992787     ,1/4/22 22:45          ,62.32         ,62.4          ,1             
01E002992787     ,1/4/22 23:00          ,63.6          ,63.92         ,0.99          
01E002992787     ,1/4/22 23:15          ,55.6          ,56.32         ,0.99          
01E002992787     ,1/4/22 23:30          ,56            ,56.64         ,0.99          
01E002992787     ,1/4/22 23:45          ,54.48         ,54.88         ,0.99          
01E002992787     ,1/5/22 00:00          ,116           ,116.24        ,1             
